geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001000902,"Census Tract 9.02, District of Columbia, DC",2334,214,1957,202,1782,194,51,41,0,12,59,38,0,12,19,30,46,25,0,12,46,25,377,202,368,201,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12
14000US11001001001,"Census Tract 10.01, District of Columbia, DC",8036,506,7382,525,6073,492,162,82,0,17,445,123,0,17,0,17,702,279,0,17,702,279,654,269,614,263,0,17,0,17,0,17,0,17,3,7,37,42,0,17,37,42
14000US11001001002,"Census Tract 10.02, District of Columbia, DC",3516,477,3052,390,2406,331,176,101,0,12,395,217,0,12,0,12,75,61,0,12,75,61,464,355,378,341,0,12,0,12,0,12,0,12,27,42,59,56,0,12,59,56
14000US11001001100,"Census Tract 11, District of Columbia, DC",4443,373,4164,356,3414,300,346,199,0,12,229,96,0,12,0,12,175,116,0,12,175,116,279,151,216,128,17,27,0,12,0,12,0,12,45,70,1,3,0,12,1,3
14000US11001001200,"Census Tract 12, District of Columbia, DC",4880,528,4584,506,3965,483,214,110,0,12,254,127,0,12,0,12,151,130,0,12,151,130,296,158,164,103,0,12,0,12,0,12,0,12,111,101,21,33,21,33,0,12
14000US11001001301,"Census Tract 13.01, District of Columbia, DC",4158,416,3903,411,3154,404,379,135,0,12,293,127,0,12,0,12,77,99,0,12,77,99,255,170,214,168,0,12,0,12,0,12,0,12,41,48,0,12,0,12,0,12
14000US11001001302,"Census Tract 13.02, District of Columbia, DC",7796,720,7203,677,5863,573,471,325,0,17,649,277,0,17,27,44,193,163,0,17,193,163,593,203,433,176,15,25,0,17,0,17,0,17,69,92,76,96,0,17,76,96
14000US11001001401,"Census Tract 14.01, District of Columbia, DC",3333,264,3068,251,2586,260,262,142,0,12,148,72,0,12,18,28,54,39,0,12,54,39,265,214,133,90,0,12,10,16,0,12,0,12,122,188,0,12,0,12,0,12
14000US11001001402,"Census Tract 14.02, District of Columbia, DC",3092,252,2755,303,1955,229,441,164,19,27,177,150,0,12,34,54,129,77,0,12,129,77,337,172,308,178,6,10,0,12,0,12,0,12,23,32,0,12,0,12,0,12
14000US11001001500,"Census Tract 15, District of Columbia, DC",6216,562,6004,575,4739,371,909,535,0,17,151,91,0,17,0,17,205,135,0,17,205,135,212,162,158,135,0,17,0,17,0,17,0,17,17,28,37,59,0,17,37,59
